Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,,
Popular,Popular [From The Idol Vol. 1 (Music from the HBO Original Series)],The Weeknd,6/2/23,USUG12303890,"1,682",35.6,"812,954,133","8,642","1,440,402",54,"456,926","5,152",,,,,26,"166,522",20,3,"169,985",9,,,,,,0,,
Iced Coffee,Iced Coffee,Arthur Hill,10/5/22,SGB502240495,"1,678",35.6,"2,035,613",824,"277,122",40,"244,170","4,609","3,601,719","29,510,577","582,307,619",,,,,,,,,,,"17,051",,0,,
Anyone,Anyone,Justin Bieber,1/1/21,USUM72023175,"1,687",35.6,"689,413,808","86,677","29,278,931",63,"181,790,359","3,269,385","300,226","68,768,141","618,582,288","268,898,494",171,"194,884",119,29,"868,927",35,"94,172,171","19,768",,"2,851,589",,0,,
Bel Mercy,Bel Mercy,Jengi,12/2/22,GBAYE2202575,"1,681",35.6,"137,020,536","70,768","38,059,683",64,"5,945,884","87,803","70,669","14,756,285","279,149,939","4,453,108",26,"15,563",674,15,"60,125",17,"126,759",397,"5,348,869","2,815,666",,0,,
The Nights,Full Circle: The Live Anthology,Avicii,11/20/11,CH3131340464,"1,680",35.6,"1,780,761,618","306,987","80,839,124",79,"1,147,006,109","12,229,051","3,069,701","317,503,477","3,389,115,337","248,385,509",89,"22,140",,111,"435,291",28,"66,876,028","81,455",,"12,603,697",,0,,
Run,Run,OneRepublic,5/5/21,USUM72004315,"1,684",35.6,"567,806,129","80,089","40,942,274",70,"99,979,912","892,974","150,611","14,939,338","228,981,445","23,967,349",116,"182,564",4,31,"701,924",13,"157,422,525","22,671",,"1,975,100",,0,,
Bad Habit,Gemini Rights,Steve Lacy,7/14/22,USRC12202615,"1,686",35.6,"1,087,201,670","2,735","1,047,977",45,"34,379,313","714,505",,,,"6,176,997",28,"400,366",,1,"14,681",2,,,,,,0,,
Mi Cuarto,DI LETRA,Jerry Di,4/3/20,USUM72002612,"1,694",35.5,"427,998,483","56,978","13,109,496",63,"647,941,340","3,317,927","1,196,371","60,004,394","420,502,302","119,719,089",37,"16,289",7,11,"143,168",10,"70,185,429","26,066",,"1,574,049",,0,,
Commas,Commas,Ayra Starr,2/1/24,USUG12400783,"1,689",35.5,"48,408,512","6,447","15,113,118",76,"38,402,953","338,172",,,,"96,467,771",53,"12,094",74,22,"1,071,097",40,"1,155,738",205,"531,857","1,037,608",,0,,
Dial Drunk,Stick Season (We'll All Be Here Forever),Noah Kahan,6/9/23,USUM72307683,"1,690",35.5,"157,881,582","23,162","10,693,382",67,"18,883,499","172,138","3,943","3,345,144","46,583,057","855,952",37,"121,783",14,3,"176,372",42,"9,363,624","4,815","2,463,731","228,752",,1,,
Angels Like You,Plastic Hearts,Miley Cyrus,11/27/20,USRC12003754,"1,697",35.5,"940,796,773","89,447","36,703,975",77,"165,497,158","1,629,090","1,780,416","377,871,352","3,248,071,918","8,992,522",74,"45,899",331,62,"610,903",14,"11,547,146","7,441",,"2,289,799",,0,,
Without Me,Suicide Squad: The Album (Collector's Edition),Eminem,8/4/16,USAT21602011,"1,696",35.5,"2,146,682,342","7,361","1,065,772",,"1,938,496,621","13,961,810",,,,"509,617,644",,,,,,,,,,,,1,,
Call It Love,Call It Love,Felix Jaehn,9/16/22,DEUM72204750,"1,693",35.5,"283,002,053","49,454","65,339,595",73,"43,899,935","223,169",,,,"91,869,136",51,"187,557",,41,"854,841",14,"27,540",,,"2,124,872",,0,,
Head Down,All Stand Together,Lost Frequencies,11/10/23,BEHP42300071,"1,698",35.5,"51,812,189","8,222","25,527,895",,"5,532,480","53,236",,,,"1,223",15,"112,608",,35,"6,046,803",28,"8,341",,,"757,281",,0,,
Vete,Vete,Bad Bunny,11/21/19,QMFME1914637,"1,702",35.4,"991,885,224","101,177","25,041,872",64,"600,051,690","4,073,946","42,606","8,039,160","76,307,093","140,792,004",113,"11,246",83,40,"216,331",14,"126,271,911","38,291",,"1,422,487",,1,,
What If,What If,Johnny Orlando,5/18/18,CAGFE1800001,"1,707",35.4,"183,453,795","33,551","4,047,671",57,"91,105,840","2,001,688","10,751,484","193,474,345","2,179,127,445","649,388",12,839,,3,"1,794",7,"1,476,321","8,292","288,309","1,465,914",,0,,
TRUCK BED,TRUCK BED,HARDY,10/10/22,QZ22S2200079,"1,699",35.4,"194,689,239","25,411","8,624,258",73,"46,434,511","241,641","28,666","2,908,296","38,821,749","213,597,905",24,"192,149",221,,,24,"62,232,938","33,340",,"576,188",,1,,
Que Tire Pa Lante,Que Tire Pa Lante,Daddy Yankee,10/18/19,US2BU1901810,"1,700",35.4,"375,589,989","43,389","18,068,383",59,"1,084,403,143","5,320,558","278,732","18,126,994","223,724,566","161,623,195",55,"24,484",44,15,"111,885",9,,,,"1,950,076",,0,,
Where the Wild Things Are,Gettin' Old,Luke Combs,3/24/23,US6XF2200441,"1,701",35.4,"188,142,444","23,954","22,829,582",80,"29,221,855","114,628","1,051","1,579,129","20,050,268","804,240,523",26,"123,107",2,9,"1,597,570",21,"49,984,158","15,222",,"553,446",,0,,
Jaldi Chhoda Ghare Bullet Se,Jaldi Chhoda Ghare Bullet Se,Vinay Pandey Sanu,3/10/23,ING642301152,"1,703",35.4,"72,880",3,10,6,"392,877,223","1,533,010",,,,,,,,,,,,,,6,,0,,
REINA,ESTRELLA,Mora,8/28/23,QMDA62341722,"1,706",35.4,"187,631,508","34,204","17,653,536",,"38,229,618","220,372",,,,"508,209",25,"12,369",,13,"352,098",35,"174,322",235,"713,188","296,318",,1,,
ANTIFRAGILE,ANTIFRAGILE,LE SSERAFIM,10/17/22,USA2P2230329,"1,704",35.4,"458,713,465","29,686","8,500,191",70,"263,768,312","4,141,652","208,042","281,057,311","1,964,836,293","180,066,740",23,"2,779",128,4,"32,620",25,"959,380","1,848",,"575,592",,0,,
Dreaming,Dreaming,Marshmello,10/20/23,USRC12302211,"1,716",35.3,"42,151,775","8,420","9,908,087",,"2,897,871","28,056","1,995","235,368","4,725,722","13,532,423",28,"133,206",81,31,"6,416,946",36,"2,632,016",315,,"1,043,257",,0,,
Own Brand Freestyle,Own Brand Freestyle,FelixThe1st,10/7/21,QZK6J2144340,"1,718",35.3,"110,291,303","39,905","6,175,231",52,"32,448,901","528,302","3,800,778","1,197,306,073","11,216,028,216","87,467,213",18,662,,5,"9,091",3,"3,946,559","3,976",,"2,290,647",,1,,
Sent Gamkauwa,Sent Gamkauwa,Shivani Singh,5/19/23,ING642303429,"1,717",35.3,"29,424,141",487,"282,647",62,"319,210,127","1,342,225",393,"17,267","153,512","182,061,559",,,,,,,,,,"13,526",,0,,
Bulletproof,Bulletproof,Nate Smith,2/9/24,USRN12300134,"1,710",35.3,"32,849,769","3,617","14,360,509",,"3,599,335","30,863",,,,"195,478,256",20,"54,945",50,8,"1,583,802",23,"18,349,967",710,,"176,994",,0,,
I Hope,I Hope,Gabby Barrett,1/25/19,TCAEB1919657,"1,714",35.3,"399,778,802","50,441","13,504,790",66,"271,330,319","1,805,049","104,530","12,630,049","109,246,978","327,733,544",56,"515,961",174,5,"1,888",39,"310,282,103","125,616","6,928,677","4,051,237",,0,,
Bite Me,DARK BLOOD,ENHYPEN,5/22/23,USA2P2319853,"1,713",35.3,"263,851,286","17,657","7,369,849",73,"161,653,032","3,135,324","120,256","103,362,311","483,823,339","73,829,305",18,"2,228",28,3,"50,385",11,"997,675","1,454","1,403,690","434,604",,0,,
Cover Me In Sunshine,Cover Me In Sunshine,P!nk,2/12/21,USRC12100138,"1,715",35.3,"439,034,558","90,145","20,519,485",64,"115,408,379","1,213,873","269,475","31,650,070","296,160,904","48,805,502",130,"263,933",105,63,"1,248,937",40,"42,849,405","28,351",,"3,598,273",,0,,
Sin Querer,Sin Querer - Single,Fer Vazquez,12/14/23,ARC082300049,"1,720",35.2,"46,660,424","4,000","10,260,168",67,"102,166,795","528,710","149,300","8,173,814","132,683,756","1,545,281,605",,"2,230",,3,"52,458",5,"8,010",,,"79,180",,1,,
TOMBOY,I NEVER DIE,(G)I-DLE,3/14/22,KRA392100080,"1,724",35.2,"286,016,224","26,565","10,803,270",67,"496,270,574","4,490,255","43,300","26,703,316","232,860,888","168,900,715",18,"3,005",,6,"43,550",30,"645,800","1,252",,"559,921",,0,,
Everything I Love,3 Songs At A Time Sampler,Morgan Wallen,1/31/23,USUG12300803,"1,722",35.2,"173,756,454","32,550","3,744,217",68,"16,950,068","90,473","164,397","25,491,443","233,214,006",,18,"135,232",32,,,20,"32,268,708","7,441","2,372,605","459,770",,0,,
Butta My Bread,Butta My Bread - Single (feat. Lasmid) - Single,JZyNo,4/7/23,TCAGZ2348437,"1,729",35.1,"46,431,158","23,723","2,774,325",60,"30,482,110","207,290","1,234,800","20,141,869","254,178,400","32,845,152",19,"1,812",56,6,"140,305",,"116,796",57,,"2,164,282",,0,,
Barking,Barking,Ramz,12/1/17,GBUM71706255,"1,726",35.1,"514,888,081","137,084","10,305,963",62,"71,371,266","619,646","7,729,856","112,113,109","941,134,581",,33,"16,087",,18,"94,554",4,"1,006,811","15,616",,"2,693,743",,0,,
One Of Them Girls,One Of Them Girls,Lee Brice,4/10/20,USCRB1900135,"1,728",35.1,"382,466,683","51,259","13,516,221",67,"187,677,909","917,156","261,782","22,973,089","187,911,533","509,177,286",,"334,453",182,6,"3,740",18,"327,029,805","63,395","3,039,327",,,0,,
INFERNO,INFERNO,Sub Urban,8/13/21,USWB12101521,"1,730",35.1,"233,661,226","44,552","8,372,930",60,"179,525,477","4,809,845","2,856,125","458,439,237","4,078,323,042","1,102,079,805",13,"4,532",152,10,"304,020",12,"6,642,847","6,543",,"935,053",,0,,
Hold On,Hold On,Chord Overstreet,2/3/17,USUM71615568,"1,725",35.1,"847,578,246","122,390","28,205,829",73,"817,730,890","8,045,419","735,926","173,724,076","1,343,189,392","254,053,114",20,452,,6,"25,805",,"133,204,015","120,281","28,423,570","2,901,322",,0,,
Bipolar,Bipolar,Mc Davi,4/9/21,BXG6R2100310,"1,727",35.1,"174,403,309","32,650","7,030,076",52,"357,542,893","3,589,715","3,012,486","128,104,419","1,360,596,383","21,502,622",34,"3,235",,35,"210,291",3,,,,"318,311",,1,,
bury a friend,bury a friend,Billie Eilish,1/30/19,USUM71900770,"1,739",35,"1,014,870,547","114,243","30,570,088",68,"574,257,361","9,631,821","1,033,277","204,385,730","1,519,293,340","448,375,514",122,"18,698",111,50,"266,744",62,"76,120,834","79,036",,"4,133,474",,0,,
El Tsurito,El Tsurito,Junior H,4/7/23,QZ9QQ2300262,"1,741",35,"257,812,063","24,070","9,835,143",69,"185,512,305","813,988","62,900","9,583,585","80,538,339",,18,2,,6,"1,432,631",6,"8,526,077","1,218",,"391,732",,1,,
GOOD LOYAL THOTS,GOOD LOYAL THOTS,Odetari,3/15/23,QZES92330937,"1,734",35,"222,975,417","36,832","6,604,256",71,"45,543,286","773,400","803,702","104,617,204","664,995,622",,2,1,20,,,,"1,396,913","3,191","321,968","606,670",,1,,
No Me Acuerdo,No Me Acuerdo,Thalia,6/1/18,USSD11800192,"1,733",35,"367,530,155","32,622","11,307,517",60,"1,521,849,468","5,084,821","277,425","6,574,575","160,130,753","380,344,538",46,"15,503",,25,"51,160",31,"20,732,370","17,495",,"1,746,790",,0,,
Abcdario,Abcdario,Eden Muï¿½ï,5/13/23,MXB952300035,"1,738",35,"262,504,588","19,709","8,079,760",72,"149,083,889","660,503",1,33,939,"10,312,183",20,"1,140",,5,"1,365,319",3,"8,484,383","4,718","2,834,823","657,427",,0,,
Freestyle,Too Hard,Lil Baby,12/1/17,QZ4JX1760834,"1,735",35,"706,489,684","169,855","37,807,345",75,"755,884,858","3,716,581","33,905","16,142,417","109,113,917","250,831,157",83,797,40,14,"258,389",10,"145,578,693","81,846",,"2,193,924",,1,,
Una Locura,ENOC,Ozuna,9/4/20,USXDR2000574,"1,732",35,"584,776,407","77,768","24,701,564",66,"634,293,431","2,732,963","54,400","4,039,386","53,047,506","31,169,927",91,"10,020",26,18,"103,623",31,"19,304,549","3,277",,"1,497,732",,0,,
double take,double take,Dhruv,5/24/19,GBMJG1911043,"1,737",35,"826,685,494","106,975","21,112,809",76,"353,174,602","2,826,209","2,516,713","555,171,983","4,653,743,727","166,290,699",39,"13,341",9,7,"49,460",4,"433,712","1,592","10,994,470","1,873,276",,0,,
Trip,Trip,Ella Mai,8/3/18,USUM71810720,"1,747",34.9,"502,147,027","69,350","20,445,990",66,"543,883,053","3,896,527","1,444,867","22,688,020","208,386,139","95,476,628",64,"131,301",27,21,"153,682",22,"318,057,593","144,672",,"3,345,381",,0,,
Ni Una Ni Dos,Ni Una Ni Dos,BM,6/28/23,UYB282364003,"1,743",34.9,"139,873,877","17,771","7,444,560",65,"177,205,271","711,929","56,200","2,482,467","28,960,322","223,572,730",,"3,206",,8,"456,100",14,,,,"151,799",,1,,
Un Desperdicio,Un Desperdicio,Rels B,4/25/24,UYB282476008,"1,750",34.9,"62,552,825","3,045","44,211,129",78,"16,726,488","252,529",,,,"3,058,545",4,52,,4,"23,479",13,"133,038",56,,"95,975",,0,,
El Boss,El Boss,Gabito Ballesteros,3/28/24,USA2P2415440,"1,746",34.9,"81,942,319","3,580","30,332,860",84,"34,566,311","283,283",,,,,10,1,,4,"1,104,753",16,"460,206",191,,"71,332",,1,,
La Corriente,Un Verano Sin Ti,Bad Bunny,5/6/22,QM6MZ2214883,"1,745",34.9,"591,704,263","65,115","16,254,572",71,"179,847,217","1,213,273","120,800","26,994,022","266,064,027","24,137,183",12,"6,564",6,3,"189,015",3,"36,848,007","3,102",,"977,339",,1,,
Mejor Que Ayer,Mejor Que Ayer - Single,Diego Torres,8/31/23,USSD12300381,"1,744",34.9,"28,210,202","5,046","2,986,473",,"31,452,943","243,718","823,103","5,145,272","108,989,284","23,885,728",1,"24,023",5,10,"62,892",,"239,648",247,,"350,257",,0,,
Lalala,Lalala - Single,ati2x06,1/17/24,ES64E2455099,"1,751",34.8,"966,112,900",1,124,,,,,,,,,,,,,,,,,,,0,,
MAMACITA,Mamacita,Black Eyed Peas,4/9/20,USSM12001556,"1,755",34.8,"527,632,887","84,301","21,657,743",58,"395,922,237","2,379,259","676,395","37,832,920","479,492,465","173,481,731",122,"136,368",47,92,"2,543,215",26,"48,979,157","28,733",,"6,266,607",,1,,
No Fuss,Take Me Alive,Zeme Libre,1/31/23,USCGH2304209,"1,754",34.8,"1,332",5,"1,470",,"411,286,256","1,717,893",,,,,,8,,,,,,,,3,,0,,
El Efecto,El Efecto,Rauw Alejandro,3/15/19,QM4TX1940916,"1,766",34.7,"580,054,244","72,991","32,213,511",72,"994,008,600","4,660,138","224,269","39,436,962","404,797,553","153,838,066",26,"7,887",20,11,"252,415",22,"23,201,439","5,578",,"2,734,291",,0,,
Dream Girl,Dream Girl,Izellah,3/23/23,SGB502323140,"1,762",34.7,"377,401",48,"19,503",30,,,"1,900,000","22,131,953","370,465,516",,,,,,,,,,,"14,725",,0,,
Zona De Perigo,Zona De Perigo,Leo Santana,12/8/22,BRUM72202246,"1,764",34.7,"182,793,453","18,476","8,152,728",61,"202,826,223","1,281,118","1,000,000","129,460,794","1,821,638,330","29,439,094",15,"1,965",,31,"315,631",14,"76,819",,,,,0,,
Crazy Form,THE WORLD EP.FIN : WILL,ATEEZ,12/1/23,KRD442300022,"1,765",34.7,"58,520,078","5,454","5,075,458",,"123,416,768","976,454","8,035","14,763,613","62,979,168","1,488,882,238",9,"1,452",20,3,"236,558",9,"414,834",516,"12,328","143,319",,0,,
Kehribar,Kehribar - Single,Burak Bulut,9/29/23,DGA092378278,"1,761",34.7,"68,985,345","7,062","5,463,250",67,"158,339,797","375,656","37,700","311,331","13,290,393","388,282,635",5,,,3,"1,583,000",,,,,"280,877",,0,,
Drugs From Amsterdam,Drugs From Amsterdam,Mau P,8/17/22,GBK6Y2251421,"1,776",34.6,"170,829,903","97,012","41,938,004",68,"20,734,303","268,271","16,820","9,430,231","125,870,792","5,679,523",30,"26,450",344,28,"72,065",8,"1,103,480",970,,"1,386,260",,0,,
What My World Spins Around,What My World Spins Around,Jordan Davis,5/27/22,USUM72208440,"1,769",34.6,"225,128,269","23,133","12,193,936",71,"6,417,626","36,749","19,339","3,634,753","33,305,600","8,173,626",26,"309,999",138,2,"87,391",7,"126,764,513","9,775","1,153,317","820,952",,0,,
HOLIDAY,HOLIDAY,Lil Nas X,11/13/20,USSM12006375,"1,774",34.6,"551,719,564","101,852","11,132,603",61,"298,362,799","5,071,208","612,523","205,216,366","1,449,949,822","34,528,618",85,"63,905",,29,"143,928",13,"15,910,741","47,587",,"1,571,647",,1,,
Son Of A Sinner,Ballads Of The Broken,Jelly Roll,9/17/21,QMRSZ2102218,"1,773",34.6,"189,577,521","32,091","3,315,491",70,"167,631,264","1,282,588","89,522","13,788,353","170,725,017","523,029,658",,"261,308",53,1,71,,"110,527,184","54,915","3,373,779",,,1,,
On My Grind,Block Music,OG Eat,11/23/22,QZTB22230138,"1,767",34.6,,,,,,,,,,,,,,,,,,,,"30,698,299",,0,,
Animals,Full Circle: The Live Anthology,Maroon 5,11/20/11,USUM71409576,"1,772",34.6,"1,365,755,853","183,681","46,890,920",74,"1,285,233,400","8,881,918","632,606","91,997,812","694,003,171","646,244,393",40,"74,610",98,45,"252,875",18,"542,517,832","319,847","11,268,399","8,434,236",,0,,
Kurchi Madathapetti,"Kurchi Madathapetti (From ""Guntur Kaaram"") - Single",Thaman S,12/30/23,INA092319016,"1,777",34.6,"43,280,156","1,397","2,069,274",,"123,586,274","1,114,900",,,,"1,464,327,043",2,24,,,,13,,,,"172,357",,0,,
DNA,Love Yourself ï¿½ï¿½ï¿½,BTS,9/18/17,KRA381702187,"1,778",34.5,"632,727,904","26,053","8,457,280",63,"1,758,381,885","26,790,883","402,921","92,435,774","537,359,844","135,121,227",34,"2,143",8,8,"195,740",,,,,"1,075,755",,0,,
EXCESOS,Pa las Baby's Y Belikeada,Fuerza Regida,10/20/23,QZ9QQ2300776,"1,785",34.5,"140,289,944","11,244","6,732,068",,"102,146,155","355,596",,"558,350","5,016,260","419,693,279",24,73,,13,"6,745,694",1,"8,663,386","2,170",,"364,193",,0,,
VVV,VVV,mikeeysmind,10/21/23,DGA0L2303147,"1,782",34.5,"66,104,800","18,865","2,295,894",,"20,813,530","308,805","413,000","17,404,126","144,294,559","1,045,559,887",,3,,1,"9,696",,"46,806",86,,"1,101,523",,1,,
EL BARCO,EL BARCO,KAROL G,3/25/21,USUM72023902,"1,780",34.5,"304,116,211","21,517","8,048,081",72,"692,863,553","2,439,195","186,881","13,802,946","184,413,760","716,282,244",32,"5,957",105,10,"2,012,566",14,"47,500,299","14,392",,"701,730",,0,,
Ahora Dice,Ahora Dice,Chris Jedi,3/17/17,USUM71606219,"1,779",34.5,"661,732,009","61,561","20,760,337",68,"1,555,093,288","6,076,859",345,"262,718","1,702,529","177,167,591",25,"3,761",,27,"386,492",28,"155,137,197","43,246",,"2,529,986",,0,,
Heaven,Heaven,Niall Horan,2/17/23,USUG12300779,"1,784",34.5,"229,993,968","29,447","13,951,617",68,"25,068,301","605,989","76,768","30,680,818","303,361,656","7,773,249",56,"153,416",356,19,"243,788",21,"11,303,585","1,836",,"1,752,464",,0,,
Fingers Crossed,Fingers Crossed,Lauren Spencer Smith,1/5/22,TCAFY2118876,"1,783",34.5,"437,029,775","71,202","18,194,896",67,"60,320,365","602,827","52,700","31,427,513","261,236,772","2,169,985,836",59,"167,522",927,43,"616,800",31,"38,926,392","27,268",,"2,895,512",,0,,
This Side of Paradise,Color,Coyote Theory,12/11/20,QMW9F1100003,"1,789",34.4,"515,923,885","121,767","25,106,201",72,"166,794,513","2,438,100","520,891","383,884,667","2,574,138,698","6,350",7,18,,2,"16,264",,"2,672,470","8,628","9,678,283","2,561,309",,0,,
Pipoco,Pipoco,Ana Castela,5/20/22,BXHZ02200008,"1,794",34.4,"238,890,270","27,066","8,621,319",60,"384,799,195","2,963,384","465,300","88,637,887","1,298,188,205","525,707,358",14,"4,831",,34,"177,404",11,,,,"411,758",,0,,
My Baby,My Baby,Diamond Platnumz,2/3/23,ZA41S2300062,"1,787",34.4,,757,"61,488",30,"25,504,572","187,689","2,579,200","23,151,822","341,343,712","9,191,413",,252,,,,,"15,614",151,,"201,503",,0,,
The Magic Bomb,The Magic Bomb,Hoï¿½ï¿½ng ,4/20/21,NLZ542100934,"1,788",34.4,"4,224,438","2,333","240,248",31,"4,404,312","94,056","6,400,664","838,003,900","10,173,667,723","994,101",3,3,205,1,"2,116",3,"889,278",717,,"13,990",,0,,
Paani Paani,Paani Paani,Badshah,6/9/21,INH102100261,"1,790",34.4,"89,815,962","9,126","3,802,888",54,"850,941,688","6,694,074",,,,"158,313,518",8,"1,560",,2,"1,370",11,"125,172",,,"176,468",,0,,
Static,Gemini Rights,Steve Lacy,7/15/22,USRC12202285,"1,786",34.4,"304,386,086","69,159","17,570,340",72,"18,632,784","257,442","326,956","217,253,263","1,303,631,045","86,936,272",22,"2,174",372,15,"227,403",1,"1,716,467","4,865","10,581,141","651,001",,1,,
Through Da Storm,Die A Legend,Polo G,6/7/19,USQX91901170,"1,800",34.3,"351,007,818","105,025","7,074,555",64,"186,297,690","1,709,390","16,973","8,083,973","55,106,493","6,427,525",2,283,,11,"8,973",,"51,567,061","32,915","66,792,003","713,131",,1,,
Sabran,Sabran,AL SHAMI,2/10/24,LBA132400142,"1,801",34.3,"5,501,185",613,"980,583",,"94,138,006","852,151",,,,"1,110,946,120",4,99,,,,,,,,"118,843",,0,,
Komet,Komet,Udo Lindenberg,1/19/23,DEA622202192,"1,796",34.3,"223,211,332","47,584","5,249,832",68,"83,855,008","603,186",93,"5,456","95,067","292,977,607",27,"67,360",,12,"3,383,006",9,,,,"940,223",,0,,
In the End,Hybrid Theory (Bonus Track Version),Linkin Park,10/24/00,USWB10002407,"1,803",34.3,"2,045,512,421","324,745","99,290,558",82,"2,375,021,286","17,765,456","522,553","63,993,059","729,532,806","1,256,171,581",16,"186,149",357,117,"1,481,082",52,"832,288,547","304,965","29,420,155","26,145",,0,,
La Bicicleta,La Bicicleta,Carlos Vives,5/27/16,USSD11600112,"1,802",34.3,"697,574,595","60,309","20,351,309",69,"1,691,997,312","4,789,339","417,978","54,674,912","945,038,658","343,201,999",86,"18,701",44,63,"407,197",65,"57,536,813","92,844",,"4,026,835",,0,,
Caramelo,Caramelo,Ozuna,6/11/20,USXDR2000567,"1,795",34.3,"508,151,972","68,478","20,213,678",56,"585,332,283","2,893,537","694,200","40,465,854","387,733,644","163,225,146",68,"10,140",64,21,"454,231",42,"29,787,813","10,115","5,879,892","1,234,460",,0,,
Calling My Spirit,Calling My Spirit,Kodak Black,11/30/18,USAT21812416,"1,799",34.3,"298,721,490","69,136","7,558,306",59,"162,438,129","1,112,123","4,175","1,012,306","13,981,094","31,915,591",18,"1,745",,3,"6,878",1,"157,802,481","36,367","96,277,540","684,516",,1,,
Virtual Angel,<Dall>,ARTMS,5/31/24,KRA382401742,"1,810",34.2,"2,371,467",241,"4,606,660",,"11,364,565","212,716",,,,,7,16,,,,7,209,,,"4,320",,0,,
Everybody Dies In Their Nightmares,17,XXXTENTACION,8/25/17,USUYG1156894,"1,812",34.2,"1,590,659,204","203,764","34,418,293",77,"567,076,854","7,875,127","322,403","76,923,633","616,913,553","29,039,651",26,29,,9,"136,392",8,"99,032,560","70,564",,"2,444,041",,1,,
Maria Mariah,Maria Mariah,JC NO BEAT,11/17/23,BCLWS2302458,"1,811",34.2,"33,605,864","12,453","3,161,785",32,"107,114,515","805,527",,"1,970,109","25,541,775","488,737,787",4,342,5,4,"1,999,794",14,,,,"160,253",,1,,
Spokojnie,Ninja,HOT DONUTS,2/26/23,GBMJG2302966,"1,807",34.2,,1,17,,"407,197,875","1,302,211",,,,,,1,,,,,,,,,,0,,
Ma Fi Leil,Ma Fi Leil,Nassif Zeytoun,4/16/24,LBA132400447,"1,806",34.2,"1,579,231",195,"741,333",,"43,912,255","427,835",,,,"2,635,256",4,124,,3,"41,160",,,,,"83,701",,0,,
NEON BLADE,NEON BLADE,MoonDeity,6/1/22,SE6QE2237231,"1,821",34.1,"256,121,980","60,620","23,882,871",68,"223,554,131","2,671,018","137,960","139,402,074","1,479,505,358","50,959,369",16,1,,3,"91,280",1,"1,738,308","3,599",,"2,490,025",,1,,
Ho Hey,The Lumineers,The Lumineers,1/1/12,USDMG1260805,"1,818",34.1,"1,273,869,800","214,511","64,606,098",76,"370,952,126","2,847,630","28,712","25,451,026","172,101,115","213,556,549",148,"242,121",353,98,"601,170",53,"815,332,673","520,710","13,370,304","17,971,225",,0,,
Corrido de Juan Armenta,Los Temas de Mis Pelï¿½ï¿½c,Vicente Fernï¿½ï¿½,5/27/24,MXF012400279,"1,816",34.1,"68,134",3,138,,,,,,,,,,,,,,"10,721,923","6,628",,,,0,,
Frozen,Frozen,Madonna,12/3/21,USWB12105753,"1,817",34.1,"171,060,866","62,420","13,385,720",62,"39,445,207","832,416","1,812,874","58,132,303","954,943,543","7,699",17,"12,696",529,9,"15,158",2,"17,914,746","3,997",,"6,425,997",,0,,
Mahiye Jinna Sohna,Mahiye Jinna Sohna,Darshan Raval,6/22/23,INW262317735,"1,823",34.1,"208,410,725","14,238","8,924,766",66,"117,750,348","1,330,374","496,900","14,803,092","327,071,314","85,756,632",3,597,,1,"1,097",16,"4,121",18,,"242,339",,0,,
Pain,Pain,PinkPantheress,2/5/21,QZFZ52145391,"1,819",34.1,"595,213,841","124,555","17,910,647",77,"47,759,635","771,300","206,470","115,511,396","640,679,729","201,866",33,"1,073",145,10,"133,199",,"2,317,940","3,730","20,459,627","719,198",,1,,
Titliaan,Titliaan,Afsana Khan,11/9/20,INUM72000090,"1,820",34.1,"60,103,893","7,617","1,238,881",54,"996,649,537","9,168,790","151,100","1,406,442","44,461,309","23,808,458",4,310,,,,2,"1,935",,,"230,094",,0,,
Save Your Tears,After Hours (Deluxe),The Weeknd,3/20/20,USUG12000669,"1,827",34,"1,995,511,952","8,264","1,155,540",49,,,,,,,68,"916,627",,29,"2,416,985",,,,,,,1,,
Padam Padam,Padam Padam,Kylie Minogue,5/18/23,GB5KW2301017,"1,826",34,"142,783,595","27,586","18,160,338",43,"39,579,610","426,906","49,769","16,387,200","266,934,347","317,063,172",117,"97,932","1,135",34,"786,028",87,"2,872,697","3,783",,"1,166,124",,0,,
Finesse,Finesse,Pheelz,3/3/22,QZQAY2239272,"1,830",34,"162,356,099","67,124","8,539,093",62,"27,222,424","253,527","813,201","95,230,456","1,145,039,714","966,941",77,"70,941",515,15,"574,629",27,"11,491,383","2,501","4,604,430","4,200,295",,0,,
Bad Blood,1989 (Deluxe),Taylor Swift,1/1/14,USCJY1431369,"1,834",34,"602,316,735","64,462","20,443,761",67,"1,643,019,828","10,410,620","169,764","142,146,594","998,836,191","568,822,896",91,"12,331",117,9,"19,067",8,"442,671,630","511,323","387,051","3,046,517",,0,,
SNAP,SNAP - Single,Rosa Linn,3/19/22,QM4TX2221661,"1,828",34,"1,033,308,414","53,249","27,556,242",1,"12,702,613","214,200","420,936","170,964,850","1,837,588,984","75,492,508",,"169,034",944,15,"33,716",,"33,378,778","6,855",,,,0,,
