Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,,
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,1/13/17,USUM71607007,50,203.5,"1,747,093,405","178,114","49,464,650",74,"9,537,135,721","61,799,279","799,338","78,304,409","1,143,297,071","569,548,901",179,"121,234",116,145,"1,977,014",118,"266,603,596","2,359,900",,"19,622,551",,0,,
euphoria,euphoria,Kendrick Lamar,4/30/24,USUG12402839,51,202.1,"168,434,320","17,168","62,516,401",86,"53,604,746","1,846,535",,,,"174,375,427",65,"6,408",77,20,"428,378",31,"3,156,727","4,843","4,304,870","654,482",,1,,
Panda Basi,Panda Basi - EP,Mvua,2/10/23,GX3Q92333626,52,200.3,"104,271",249,"8,585",25,"2,457,026,781",,190,"36,666","393,580",,,12,,,,,,,,"1,881",,0,,
Shape of You,Shape of You,Ed Sheeran,1/6/17,GBAHS1600463,54,195.1,"3,909,458,734","316,378","148,037,882",80,"8,013,997,219","45,770,887","2,270,315","194,420,058","2,320,856,331","2,294,804,623",465,"402,829",282,512,"2,710,931",115,"733,565,655","651,557","78,149,375","1,146,246",,0,,
Mitu,Mitu - Single,Maian,1/19/23,EEUM72300001,55,194.3,"55,346",42,"16,861",13,"2,432,265,978","8,162,101",,,,,,53,,,,,,,,200,,0,,
Blinding Lights,Blinding Lights,The Weeknd,11/29/19,USUG11904206,56,194,"4,281,468,720","590,392","165,544,011",83,"833,807,130","10,093,211","2,882,064","337,322,563","3,501,177,394","2,258,085,924",859,"1,695,240","1,116",564,"11,701,129",184,"489,299,762","319,634","28,659,471","28,994,660",,0,,
Dona Felicidade,Dona Felicidade,Patati Patatï¿,6/4/24,QZNJW2423715,58,190,,2,"41,206",,"52,480,069","82,092",,,,,,,,1,"1,657",,,,,,,0,,
Supernova,Supernova,aespa,5/13/24,KRA302400090,63,186.1,"69,729,033","2,483","21,046,278",81,"111,310,770","1,724,693","56,600","61,038,623","393,973,528","32,059,104",40,709,13,7,"544,322",14,"45,515",100,"255,951","63,283",,0,,
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,5/6/22,QM6MZ2214877,64,184.8,"1,811,990,630","173,358","67,603,671",79,"1,516,863,120","8,870,768","4,506,600","549,886,060","6,470,937,272","934,894,575",124,"77,120",327,44,"14,871,714",63,"111,324,744","39,123",,"3,393,920",,1,,
Calm Down,Calm Down,Rema,2/10/22,NGA3B2214004,66,180.1,"584,427,088","182,994","19,203,258",68,"1,141,904,909","8,766,235","6,129,450","856,216,952","18,216,656,774","2,952,879,912",138,"191,634",759,53,"3,481,756",45,"98,290,873","46,039","14,668,216","22,563,407",,0,,
CARNIVAL,CARNIVAL,ýý$,2/8/24,QZ7XS2400012,67,179.6,"466,887,055","53,842","103,935,623",84,"27,688,666","449,112",,,,"33,817,299",42,"53,333",,11,"199,915",29,"1,359,484","11,303","11,703,609","1,982,000",,1,,
Kill Bill,SOS,SZA,12/8/22,USRC12204584,68,177.7,"1,873,746,537","190,202","99,546,318",82,"220,538,045","3,153,793","266,430","152,410,048","1,284,413,960","426,461,749",214,"655,242","5,448",73,"1,304,067",122,"57,350,590","61,270","16,992,932","4,873,832",,0,,
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,3/3/23,QZA742305720,70,176.2,"46,567",252,"21,930",6,"2,038,459,981","6,076,902",,,,,2,29,,,,,"1,456",,,903,,0,,
Heat Waves,Heat Waves,Glass Animals,6/29/20,GBUM72000433,71,175,"2,996,181,078","486,278","112,416,489",82,"1,272,898,075","14,947,520","1,416,295","513,334,446","5,518,429,969","4,899,313,022",459,"1,414,326","1,434",170,"11,862,378",95,"122,247,640","160,431",,"17,848,778",,0,,
In the End,Papercuts,Linkin Park,4/12/24,USWB11201322,72,174.8,"2,045,512,421",97,"488,602",,,,,,,,,,,,,2,,,,,,0,,
Old Town Road,Old Town Road,Lil Nas X,3/14/19,USSM11901941,75,170.3,"1,010,494,713","127,393","18,652,312",67,"3,203,314,695","41,487,213","5,757,883","187,301,054","1,981,431,049","939,714,925",63,"49,780","2,195",64,"397,418",100,"181,784,010","2,022,074","106,880,548","8,856,633",,0,,
Sprinter,Sprinter - Single,Dave,6/1/23,GBUM72305159,78,168.1,"692,512,930","199,828","55,464,762",78,"219,666,692","2,332,307","731,797","130,560,533","1,254,944,697","918,145,630",155,"42,082",36,41,"1,790,031",76,"411,656","3,414","12,405,917","3,093,667",,1,,
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,5/17/24,USUM72401988,79,167.8,"169,410,711","11,028","144,854,768",90,"19,402,457","997,411",284,,,"260,377,114",185,"1,008",,53,"20,737,850",59,"521,322",698,"1,680,434","388,625",,0,,
TQG,TQG,KAROL G,2/23/23,USUM72222541,80,167.8,"1,024,381,758","78,554","69,319,589",78,"1,102,289,596","8,953,293","457,111","15,048,444","248,168,852","1,174,053,183",138,"149,584",38,84,"8,850,320",131,"68,022,934","16,511","164,895","3,488,226",,1,,
Perfect,ýý (Deluxe),Ed Sheeran,3/3/17,GBAHS1700024,81,167.5,"2,969,999,682","280,165","116,921,604",81,"6,473,698,897","39,632,673","6,642,975","601,244,764","7,647,479,866","1,708,317,539",208,"263,386",129,343,"1,242,581",102,"617,483,078","595,052",,,,0,,
Pepas,Pepas,Farruko,6/24/21,USSD12100307,82,167.3,"1,500,499,584","359,502","125,112,486",74,"1,431,591,689","11,553,088","2,866,181","290,811,371","4,067,248,819","782,475,986",258,"240,677",438,137,"4,015,523",102,"120,046,948","89,582","6,227","17,210,946",,1,,
Peekaboo,Glide - Single,Dave Angel,1/27/23,GBLTF2300027,83,167.2,"8,082",63,"32,758",,"2,055,940,513","4,150,967",,,,,1,13,,,,,,,,442,,0,,
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,3/16/23,USE7D2300007,84,166.5,"1,215,336,974","129,463","39,814,172",74,"701,880,622","3,831,236","5,416","550,073","15,373,104","546,259,059",83,"40,153",227,24,"4,946,338",61,"84,378,219","53,890","17,115,523","3,435,177",,0,,
redrum,american dream,21 Savage,1/12/24,USSM12309164,87,164.8,"428,233,003","57,311","144,298,748",,"105,148,629","1,762,297","87,200","6,732,800","43,993,800","977,638,660",74,"102,457",56,48,"4,037,475",60,"16,802,867","11,821",,"2,490,071",,1,,
Easy On Me,Easy On Me,Adele,10/14/21,USSM12105970,88,163.2,"1,720,918,065","209,635","93,875,458",73,"1,194,846,205","13,561,925","1,912,194","733,101,955","7,860,224,413","6,353,555,150",325,"774,277","1,316",257,"5,323,750",100,"203,324,731","126,594",,"7,569,155",,0,,
Magnetic,SUPER REAL ME,ILLIT,3/25/24,USA2P2413259,93,161,"255,076,355","11,500","90,584,540",86,"202,206,901","2,596,912",,"57,656,713","506,476,590","273,521,596",67,"4,716",137,9,"423,666",44,"220,481","1,207","556,784","659,825",,0,,
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,7/28/23,USSD12300307,94,158.2,"275,349,653","37,806","22,826,643",70,"347,506,860","1,553,295","4,349,700","321,239,621","4,767,676,439","2,676,837,761",19,"23,875",96,37,"3,780,737",29,"5,101,044","5,276",,"1,245,874",,1,,
La Diabla,La Diabla - Single,Xavi,12/2/23,USA2P2357356,95,155.9,"649,404,552","27,544","47,789,063",83,"433,839,212","2,750,086",,"414,833","10,603,563","1,795,939,912",29,"16,287",462,34,"16,509,806",26,"22,603,598","29,401",,"1,380,069",,0,,
Snooze,SOS,SZA,12/9/22,USRC12204591,97,153.3,"1,013,350,808","108,036","86,470,319",84,"390,677,417","2,521,214","402,338","97,819,766","887,803,828","560,893,301",154,"559,589",513,60,"2,707,900",61,"74,611,167","85,113","17,702,595","3,129,609",,1,,
BELLAKEO,BELLAKEO,Peso Pluma,12/7/23,QMFMF2388143,98,153.1,"359,803,580","26,065","79,152,427",86,"369,321,334","1,839,225","720,800","74,164,945","874,056,250","4,123,457,278",40,"16,952",69,63,"18,139,662",51,"20,058,510","7,289",,"1,002,835",,1,,
Agora Hills,Scarlet,Doja Cat,9/22/23,USRC12301954,99,152.8,"509,653,100","66,219","67,521,533",,"48,045,203","986,278","328,562","88,846,508","544,437,406","1,561,456,615",80,"400,206",14,78,"9,341,155",39,"23,110,274","19,559",,"4,295,361",,1,,
Prada,Prada,cassï¿,8/11/23,GBCEN2300147,100,152.5,"609,699,748","128,498","160,755,092",83,"47,611,547","418,343","283,600","96,934,486","1,090,501,901","113,545,664",129,"123,242","1,570",167,"15,480,679",100,"1,210,830","1,073","25,956,265",,,1,,
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,5/2/24,GXD7G2413058,101,152.3,"5,157,486",470,"2,924,720",,"1,278,618","27,849","1,100,000","261,000","3,900,000",,3,,,2,"39,366",,,,,"47,658",,0,,
Lil Boo Thang,Lil Boo Thang,Paul Russell,8/18/23,USAR12300323,102,152.1,"242,070,373","37,170","74,130,983",76,"22,907,992","261,664","2,553,106","312,997,953","3,832,221,658","15,593,731",106,"370,635","5,999",69,"1,792,014",79,"84,425,715","30,713","670,026","2,219,984",,0,,
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/23,QMFME2364182,103,150.7,"478,150,858","73,306","51,842,133",78,"113,379,734","1,312,763","1,700,998","182,319,546","2,111,289,492","90,954,700",78,"35,330",39,56,"15,784,760",53,"17,823,388","12,664","4,374,049","2,255,465",,1,,
Training Season,Training Season,Dua Lipa,2/15/24,GBAHT2301078,106,148.9,"251,153,869","16,811","92,985,554",76,"66,691,067","961,957","102,884","34,572,688","431,390,500","2,120,552,147",162,"180,711",57,127,"33,540,073",116,"10,305,245","3,796","776,717","2,047,771",,0,,
Type Shit,WE DON'T TRUST YOU,Future,3/22/24,USSM12402033,107,148.1,"205,206,688","28,064","84,737,651",84,"39,453,253","672,789",,,,"232,440,923",99,"3,432",45,41,"2,943,724",47,"5,897,303","4,527","7,571,301","900,933",,1,,
Armageddon,Armageddon - The 1st Album,aespa,5/27/24,KRA302400093,108,147.4,"32,942,304","1,262","26,204,483",74,"57,861,795","1,257,935",,,,"29,510,774",37,290,6,5,"530,831",33,"21,869",48,"139,164","29,736",,0,,
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,12/6/19,USAT21906978,109,146.6,"1,911,559,785","317,345","87,765,033",78,"441,257,231","4,829,633","4,930,490","561,201,008","4,574,447,121","2,077,511",255,"296,948",181,138,"555,650",28,"295,741,432","633,414","168,458,097","11,988,760",,1,,
Pedro,Pedro - Single,Jaxomy,3/29/24,DEE862400427,111,144.6,"168,145,583","27,654","159,737,263",85,"35,008,949","717,214",,,,"39,149,568",107,"4,448",,158,"16,345,999",54,"39,577",482,"3,634,381","2,408,838",,0,,
Fast Car,Gettin' Old,Luke Combs,3/24/23,US6XF2200436,112,144.5,"518,988,585","73,116","58,391,498",80,"107,703,759","768,813","354,036","74,258,021","924,204,888","103,658,014",117,"673,629",59,67,"8,306,302",104,"184,924,061","88,890","728,039","3,108,167",,0,,
Aesthetic,Aesthetic,Tollan Kim,3/4/22,SGB502208576,114,144,"5,712,985","2,311","535,908",44,"3,120,073","56,276","20,114,495","2,452,502,310","33,870,791,454",,4,22,,4,"1,397",1,"21,564",81,,"249,823",,0,,
Hands,Hands,Dianï¿½,8/1/22,GBKPL2205333,115,143.9,"126,914",8,212,1,"2,435,813,922","7,208,467",33,188,"6,415","26,630,093",,658,,,,,,,,295,,0,,
Saturn,Saturn - Single,SZA,2/24/24,USRC12400216,117,142.8,"343,090,427","21,104","154,253,718",87,"38,173,339","349,660",,,,"196,380,893",120,"158,378",360,103,"10,995,523",87,"11,441,987","7,496","166,254","745,798",,0,,
Believer,Believer,Imagine Dragons,1/31/17,USUM71700626,119,142.2,"3,006,226,762","335,880","89,243,475",81,"4,495,059,988","42,240,881","5,745,117","453,132,709","5,876,458,723","276,194,776",226,"253,782",388,118,"1,138,425",71,"614,578,695","844,301","2,943,611","21,306,706",,0,,
ANDO,ANDO,Jere Klein,9/27/23,QMDA72363047,122,139,"292,789,738","28,591","30,905,957",72,"406,307,035","809,942","1,900,606","68,341,852","872,862,858","1,969,191,415",11,"1,754",,15,"8,391,160",1,"764,473","5,168",,"1,195,337",,1,,
First Class,First Class,Jack Harlow,4/8/22,USAT22203024,123,138.6,"818,858,244","223,609","49,586,777",71,"231,229,581","2,756,840","1,610,614","624,748,318","6,890,780,336","3,849,170,813",148,"666,615","4,406",37,"759,989",77,"117,451,442","40,907","24,111,168","4,244,972",,1,,
Drained of Color,Drained of Color,Exhumed,8/30/22,US2642250302,129,134,"158,627",635,"18,765",16,"2,156,140,830",,9,422,"4,484","1,318,392",,29,,,,,"1,132",,,208,,0,,
Dynamite,Dynamite,BTS,8/21/20,QM7282022872,131,132.3,"1,872,577,908","144,619","51,186,002",74,"2,638,957,320","62,311,179","3,098,499","662,794,945","5,063,720,138","2,199,001,119",323,"351,169",198,355,"1,888,088",98,,,,"7,896,781",,0,,
Someone You Loved,Breach,Lewis Capaldi,11/8/18,DEUM71807062,133,129.7,"3,427,498,835","338,763","160,553,919",82,"2,153,701,892","20,891,433","1,940,473","212,007,614","2,161,032,034","2,333,853,734",408,"600,211",381,502,"4,834,088",110,"427,212,257","357,540",,"29,266,297",,0,,
Made You Look,Takin' It Back,Meghan Trainor,10/21/22,USSM12204574,135,129.5,"720,720,922","74,295","89,509,926",77,"221,078,988","2,557,839","4,687,520","1,252,326,407","15,247,253,457","718,932,832",108,"412,680","5,869",43,"1,491,347",59,"81,828,913","36,462",,"3,086,624",,0,,
vampire,vampire,Olivia Rodrigo,6/30/23,USUG12304091,138,128.9,"998,964,097","90,793","87,801,398",18,"113,450,524","2,108,657","394,640","152,624,014","1,448,207,880","1,111,017,294",173,"161,513",93,61,"5,239,925",128,"28,318,435","67,590","4,296,515","4,872,257",,1,,
Casca de Bala,A Cara das Vaquejadas 3.0,Thullio Milionï¿½ï¿,3/1/24,BCAEW2400001,139,128.5,"37,157,630","2,052","30,387,641",74,"63,418,833","427,441","1,600,000","853,176","8,850,449","149,589,609",11,190,,32,"8,460,458",11,,,,"42,895",,0,,
Back,Back,LOLA,8/3/22,UKQNV2100272,140,128,"48,428",92,"15,747",3,"2,123,978,358","5,670,850",111,"102,828","735,317",,,46,,,,,,,,,,0,,
People,People - Single,Libianca,12/5/22,QZTB52268087,141,127.8,"631,955,547","121,823","45,030,006",74,"305,998,382","2,647,341","3,168,854","243,797,561","3,233,505,931","704,906,130",145,"122,781",202,74,"1,217,657",54,"9,017,480","11,289","8,026,553","6,121,126",,1,,
Abc,Abc,J Ross,2/14/23,CLLU22300585,145,126.6,"31,867",5,"5,100",1,"1,538,564,650","2,066,653",,,,,,174,,,,,,,,"1,178",,0,,
La Bachata,La Bachata,Manuel Turizo,5/26/22,QZDYA1800087,146,126.2,"1,721,045,197","156,941","97,122,096",81,"798,827,877","3,379,928","1,614,275","209,367,923","2,596,777,974","420,585,933",142,"152,522","1,161",97,"8,709,032",133,"47,203,290","19,769",,"4,817,885",,0,,
Lucid Dreams,Lucid Dreams,Juice WRLD,5/4/18,USUG11800685,150,123.9,"2,548,389,305","339,306","75,858,140",78,"987,143,411","9,384,427","1,900,813","44,442,433","338,071,383","274,498,079",153,"69,562",132,54,"442,640",36,"259,400,789","552,552","257,459,352","9,308,937",,1,,
PROVENZA,PROVENZA,KAROL G,4/22/22,USUM72205906,151,123.8,"1,185,929,926","103,026","64,847,502",76,"1,229,843,060","5,870,729","1,300,337","251,445,963","2,829,294,043","763,687,717",115,"130,158",688,75,"7,349,218",90,"92,136,339","29,371",,"3,397,861",,0,,
Family Matters,Family Matters,Drake,5/3/24,USUG12402984,154,122.7,"72,335,127","8,696","36,774,031",86,"41,492,122","1,034,563",,,,"166,330,702",38,"1,488",,16,"1,504,365",60,"3,065,493","2,302","2,401,049","283,217",,1,,
Again,Missing,Kurochuu,6/9/24,CA5KR2466577,155,122.5,"136,237,285",2,"2,190",2,,,,,,,,,,,,,,,,,,0,,
Last Night,3 Songs At A Time Sampler,Morgan Wallen,1/31/23,USUG12300802,157,121.9,"922,010,059","107,189","61,174,155",79,"141,852,059","567,295","285,414","61,112,010","811,685,466","182,412,108",106,"18,364","1,846",7,"33,712",38,"307,115,852","200,650","13,022,144","2,665,347",,1,,
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/24,IEACJ2300335,158,121.2,"532,012,790","22,396","130,752,527",85,"13,119,247","218,957",,,,,235,"6,952",,85,"25,307,005",108,,,"119,813","2,580,089",,0,,
Bad Habits,#NAME?,Ed Sheeran,1/1/20,GBAHS2100318,159,120.8,"1,754,311,538","271,758","62,218,811",74,"958,790,883","7,686,994","1,036,355","225,139,300","2,658,904,267","3,526,952,174",454,"1,347,725","1,035",352,"7,318,680",136,"269,834,154","88,143","17,144,484","15,886,717",,0,,
